name,region,rating,Red_Wine
Abacela Fiesta Tempranillo 2015,"Umpqua Valley, Oregon",92,1
Abacela Fiesta Tempranillo 2016,"Umpqua Valley, Oregon",90,1
Abadia Retuerta Cuvee El Campanario 1997,"Ribera del Duero, Spain",90,1
Abadia Retuerta Le Domaine Blanco 2015,Spain,91,0
Abadia Retuerta Pago Garduna Syrah Vino de la Tierra de Castilla y Leon 2009,Spain,90,1
Abadia Retuerta Pago Garduna Syrah Vino de la Tierra de Castilla y Leon 2010,Spain,90,1
Abadia Retuerta Pago Negralada Tempranillo 2009,Spain,90,1
Abadia Retuerta Pago Negralada Tempranillo 2010,Spain,92,1
Abadia Retuerta Pago Negralada Tempranillo 2011,Spain,91,1
Abadia Retuerta Pago Negralada Tempranillo 2012,Spain,90,1
Abadia Retuerta Pago Negralada Tempranillo 2013,Spain,91,1
Abadia Retuerta Pago Negralada Tempranillo 2014,Spain,90,1
Abadia Retuerta Pago Valdebellon Cabernet Sauvignon 2009,Spain,90,1
Abadia Retuerta Pago Valdebellon Cabernet Sauvignon 2010,Spain,92,1
Abadia Retuerta Pago Valdebellon Cabernet Sauvignon 2011,Spain,94,1
Abadia Retuerta Pago Valdebellon Cabernet Sauvignon 2013,Spain,91,1
Abadia Retuerta Pago Valdebellon Cabernet Sauvignon 2014,Spain,92,1
Abadia Retuerta Rivola 1999,"Ribera del Duero, Spain",90,1
Abadia Retuerta Rivola 2001,"Ribera del Duero, Spain",90,1
Abadia Retuerta Rivola 2006,"Ribera del Duero, Spain",90,1
Abadia Retuerta Seleccion Especial (1.5 Liter Magnum) 2015,Spain,92,1
Abadia Retuerta Seleccion Especial 1999,"Ribera del Duero, Spain",92,1
Abadia Retuerta Seleccion Especial 2000,"Ribera del Duero, Spain",91,1
Abadia Retuerta Seleccion Especial 2005,"Ribera del Duero, Spain",90,1
Abadia Retuerta Seleccion Especial 2007,Spain,90,1
Abadia Retuerta Seleccion Especial 2009,Spain,90,1
Abadia Retuerta Seleccion Especial 2010,Spain,92,1
Abadia Retuerta Seleccion Especial 2011,Spain,92,1
Abadia Retuerta Seleccion Especial 2013,Spain,93,1
Abadia Retuerta Seleccion Especial 2012,Spain,93,1
Abadia Retuerta Seleccion Especial 2014,Spain,92,1
Abadia Retuerta Seleccion Especial 2015,Spain,92,1
Abadia Retuerta Seleccion Especial (Stained Label) 2011,Spain,92,1
Abbazia di Novacella Gewurztraminer 2007,"Trentino-Alto Adige, Italy",90,0
Abbazia di Novacella Gruner Veltliner 2017,"Alto Adige, Trentino-Alto Adige, Italy",90,0
Abbazia di Novacella Kerner 2007,"Trentino-Alto Adige, Italy",91,0
Abbazia di Novacella Kerner 2016,"Trentino-Alto Adige, Italy",91,0
Abbazia di Novacella Kerner 2017,"Trentino-Alto Adige, Italy",94,0
Abbazia di Novacella Kerner 2019,"Trentino-Alto Adige, Italy",91,0
Abbazia di Novacella Lagrein 2007,"Trentino-Alto Adige, Italy",92,1
Abbazia di Novacella Lagrein 2010,"Trentino-Alto Adige, Italy",90,1
Abbazia di Novacella Pinot Grigio 2011,"Trentino-Alto Adige, Italy",90,0
Abbazia di Novacella Pinot Grigio 2013,"Trentino-Alto Adige, Italy",91,0
Abbazia di Novacella Pinot Grigio 2014,"Trentino-Alto Adige, Italy",90,0
Abbazia di Novacella Pinot Grigio 2015,"Trentino-Alto Adige, Italy",90,0
Abbazia di Novacella Pinot Grigio 2018,"Trentino-Alto Adige, Italy",90,0
Abbazia di Novacella Pinot Grigio 2019,"Trentino-Alto Adige, Italy",92,0
Abbazia di Novacella Praepositus Kerner 2013,"Trentino-Alto Adige, Italy",92,0
Abbazia di Novacella Praepositus Kerner 2014,"Trentino-Alto Adige, Italy",91,0
Abbazia di Novacella Praepositus Kerner 2015,"Trentino-Alto Adige, Italy",95,0
Abbona Barolo Ravera 2015,"Barolo, Piedmont, Italy",92,1
Abbona Papa Celso Dolcetto 2015,"Piedmont, Italy",90,1
Abbona Pressenda Barolo 2007,"Barolo, Piedmont, Italy",93,1
Abbona Pressenda Barolo 2008,"Barolo, Piedmont, Italy",91,1
Abbona Pressenda Barolo 2010,"Barolo, Piedmont, Italy",92,1
Abbona Pressenda Barolo 2011,"Barolo, Piedmont, Italy",90,1
Abbona Pressenda Barolo 2012,"Barolo, Piedmont, Italy",92,1
Abbona Pressenda Barolo 2013,"Barolo, Piedmont, Italy",90,1
Abbona Rinaldi Barbera d'Alba 2013,"Alba, Piedmont, Italy",90,1
Abbona Rinaldi Barbera d'Alba 2015,"Alba, Piedmont, Italy",90,1
Abbona Terlo Ravera Barolo 2007,"Barolo, Piedmont, Italy",91,1
Abbona Terlo Ravera Barolo 2009,"Barolo, Piedmont, Italy",93,1
Abbona Terlo Ravera Barolo 2010,"Barolo, Piedmont, Italy",93,1
Abbona Terlo Ravera Barolo 2011,"Barolo, Piedmont, Italy",90,1
Abbona Terlo Ravera Barolo 2012,"Barolo, Piedmont, Italy",93,1
Abeja Cabernet Sauvignon 2006,"Columbia Valley, Washington",91,1
Abeja Cabernet Sauvignon 2012,"Columbia Valley, Washington",91,1
Abeja Cabernet Sauvignon 2013,"Columbia Valley, Washington",92,1
Abeja Cabernet Sauvignon 2014,"Columbia Valley, Washington",92,1
Abeja Chardonnay 2015,Washington,90,0
Abeja Chardonnay 2014,Washington,93,0
Abeja Merlot 2014,"Columbia Valley, Washington",90,1
Aberrant Cellars Carpe Noctem Pinot Noir 2011,"Willamette Valley, Oregon",94,1
Abremundos Uco Valley Octava Bassa Malbec 2014,"Uco Valley, Mendoza, Argentina",91,1
Abreu Vineyards Cappella 2006,"Napa Valley, California",94,1
Abreu Vineyards Cappella 2007,"Napa Valley, California",96,1
Abreu Vineyards Cappella 2010,"Napa Valley, California",98,1
Abreu Vineyards Howell Mountain 2008,"Howell Mountain, Napa Valley, California",96,1
Abreu Vineyards Howell Mountain 2009,"Howell Mountain, Napa Valley, California",98,1
Abreu Vineyards Las Posadas Howell Mountain 2012,"Howell Mountain, Napa Valley, California",99,1
Abreu Vineyards Madrona Ranch 1993,"Napa Valley, California",96,1
Abreu Vineyards Madrona Ranch 1996,"Napa Valley, California",98,1
Abreu Vineyards Madrona Ranch 2000,"Napa Valley, California",92,1
Abreu Vineyards Madrona Ranch 2003,"Napa Valley, California",96,1
Abreu Vineyards Madrona Ranch 2004,"Napa Valley, California",96,1
Abreu Vineyards Madrona Ranch 2005,"Napa Valley, California",98,1
Abreu Vineyards Thorevilos 2004,"Napa Valley, California",95,1
Abreu Vineyards Thorevilos 2009,"Napa Valley, California",98,1
Abreu Vineyards Thorevilos 2012,"Napa Valley, California",99,1
Abreu Vineyards Thorevilos 2014,"Napa Valley, California",97,1
Abrigo Giovanni Barolo Ravera 2015,"Barolo, Piedmont, Italy",90,1
Abreu Vineyards Thorevilos 2015,"Napa Valley, California",97,1
Acacia Beckstoffer Pinot Noir 1999,"Carneros, California",90,1
Acacia Beckstoffer Pinot Noir 2001,"Carneros, California",91,1
Acacia Carneros Brut 1993,"Carneros, California",91,0
Acacia Carneros Chardonnay 2003,"Carneros, California",90,0
Acacia Carneros Chardonnay 2005,"Carneros, California",92,0
Acacia Carneros Pinot Noir 1999,"Napa Valley, California",91,1
Acacia Carneros Pinot Noir 2002,"Napa Valley, California",90,1
Acacia Carneros Pinot Noir 2013,"Carneros, California",90,1
Acacia Carneros Pinot Noir 2016,"Carneros, California",90,1
Acacia Desoto Vineyard Pinot Noir 1999,"Carneros, California",92,1
Acacia Pinot Noir 2002,"Carneros, California",90,1
Acacia Pinot Noir Lee 1997,"Carneros, California",94,1
Acacia St. Clair Pinot Noir 2000,"Carneros, California",90,1
Acacia St. Clair Pinot Noir 2001,"Carneros, California",91,1
Accendo Cellars Cabernet Sauvignon 2016,"Napa Valley, California",96,1
Accendo Cellars Sauvignon Blanc 2017,"Napa Valley, California",92,0
Accordini Igino Le Bessole Amarone della Valpolicella 2007,"Valpolicella, Veneto, Italy",92,1
Accordini Igino Le Bessole Amarone della Valpolicella 2011,"Valpolicella, Veneto, Italy",90,1
Achaval-Ferrer Finca Altamira Malbec (1.5 Liter Magnum) 2009,Argentina,92,1
Achaval-Ferrer Finca Altamira Malbec 2001,Argentina,92,1
Achaval-Ferrer Finca Altamira Malbec 2002,Argentina,94,1
Achaval-Ferrer Finca Altamira Malbec 2007,Argentina,90,1
Achaval-Ferrer Finca Altamira Malbec 2006,Argentina,93,1
Achaval-Ferrer Finca Altamira Malbec 2008,Argentina,93,1
Achaval-Ferrer Finca Altamira Malbec 2009,"Mendoza, Argentina",92,1
Achaval-Ferrer Finca Altamira Malbec 2010,"Mendoza, Argentina",93,1
Achaval-Ferrer Finca Altamira Malbec 2012,"Mendoza, Argentina",92,1
Achaval-Ferrer Finca Altamira Malbec 2011,"Mendoza, Argentina",95,1
Achaval-Ferrer Finca Altamira Malbec 2013,"Mendoza, Argentina",92,1
Achaval-Ferrer Finca Altamira Malbec 2014,"Mendoza, Argentina",95,1
Achaval-Ferrer Finca Bella Vista Malbec (1.5 Liter Magnum) 2009,Argentina,91,1
Achaval-Ferrer Finca Bella Vista Malbec 2007,Argentina,92,1
Achaval-Ferrer Finca Bella Vista Malbec 2008,Argentina,91,1
Achaval-Ferrer Finca Bella Vista Malbec 2009,"Mendoza, Argentina",91,1
Achaval-Ferrer Finca Bella Vista Malbec 2010,"Mendoza, Argentina",93,1
Achaval-Ferrer Finca Bella Vista Malbec 2011,"Mendoza, Argentina",95,1
Achaval-Ferrer Finca Bella Vista Malbec 2012,"Mendoza, Argentina",92,1
Achaval-Ferrer Finca Bella Vista Malbec 2013,"Mendoza, Argentina",91,1
Achaval-Ferrer Finca Mirador Malbec 2005,"Mendoza, Argentina",93,1
Achaval-Ferrer Finca Mirador Malbec 2006,Argentina,92,1
Achaval-Ferrer Finca Mirador Malbec 2007,Argentina,94,1
Achaval-Ferrer Finca Mirador Malbec 2008,"Mendoza, Argentina",93,1
Achaval-Ferrer Finca Mirador Malbec 2009,"Mendoza, Argentina",90,1
Achaval-Ferrer Finca Mirador Malbec 2010,"Mendoza, Argentina",94,1
Achaval-Ferrer Finca Mirador Malbec 2013,"Mendoza, Argentina",91,1
Achaval-Ferrer Finca Mirador Malbec 2014,"Mendoza, Argentina",90,1
Achaval-Ferrer Mendoza Cabernet Sauvignon 2011,Argentina,91,1
Achaval-Ferrer Mendoza Cabernet Sauvignon 2014,"Mendoza, Argentina",91,1
Achaval-Ferrer Mendoza Cabernet Sauvignon 2017,"Mendoza, Argentina",90,1
Achaval-Ferrer Mendoza Malbec 2006,Argentina,91,1
Achaval-Ferrer Mendoza Malbec 2007,Argentina,91,1
Achaval-Ferrer Mendoza Malbec 2008,Argentina,91,1
Achaval-Ferrer Mendoza Malbec 2010,Argentina,91,1
Achaval-Ferrer Mendoza Malbec 2011,Argentina,92,1
Achaval-Ferrer Mendoza Malbec 2012,Argentina,91,1
Achaval-Ferrer Mendoza Malbec 2013,"Mendoza, Argentina",90,1
Achaval-Ferrer Mendoza Malbec 2014,"Mendoza, Argentina",90,1
Achaval-Ferrer Mendoza Malbec 2015,"Mendoza, Argentina",91,1
Achaval-Ferrer Mendoza Malbec 2018,"Mendoza, Argentina",91,1
Achaval-Ferrer Quimera 2001,Argentina,90,1
Achaval-Ferrer Quimera 2006,Argentina,90,1
Achaval-Ferrer Quimera 2007,Argentina,90,1
Achaval-Ferrer Quimera 2008,Argentina,92,1
Achaval-Ferrer Quimera 2009,Argentina,93,1
Achaval-Ferrer Quimera 2010,Argentina,91,1
Achaval-Ferrer Quimera 2011,"Uco Valley, Mendoza, Argentina",92,1
Achaval-Ferrer Quimera 2012,"Mendoza, Argentina",90,1
Achaval-Ferrer Quimera 2013,"Mendoza, Argentina",90,1
Acinum Amarone della Valpolicella 2012,"Valpolicella, Veneto, Italy",90,1
Acinum Amarone della Valpolicella 2015,"Valpolicella, Veneto, Italy",91,1
Acre Cabernet Sauvignon 2015,"Napa Valley, California",93,1
Acrobat Pinot Gris 2009,Oregon,90,0
Acrobat Pinot Gris 2013,Oregon,90,0
Acrobat Pinot Gris 2015,Oregon,90,0
Acrobat Pinot Gris 2017,Oregon,90,0
Acrobat Pinot Noir 2009,Oregon,91,1
Acrobat Pinot Noir 2012,Oregon,90,1
Acrobat Pinot Noir 2013,Oregon,90,1
Acrobat Pinot Noir 2015,Oregon,90,1
Acumen Mountainside Sauvignon Blanc 2017,"Napa Valley, California",91,0
Acustic Celler Acustic Blanc 2010,"Jumilla, Spain",90,0
Acustic Celler Acustic Montsant 2007,"Jumilla, Spain",90,1
Acustic Celler Acustic Montsant 2008,"Jumilla, Spain",91,1
Acustic Celler Acustic Montsant 2009,"Jumilla, Spain",91,1
Acustic Celler Brao 2011,"Jumilla, Spain",91,1
Acustic Celler Brao 2012,"Jumilla, Spain",92,1
Adami Garbel Brut Prosecco,"Prosecco, Italy",90,0
Adami Prosecco di Valdobbiadene Dry Vigneto Giardino 2007,"Valdobbiadene, Prosecco, Italy",93,0
ADAMVS Quintvs 2012,"Howell Mountain, Napa Valley, California",94,1
ADAMVS Quintvs 2013,"Howell Mountain, Napa Valley, California",92,1
Adaptation by Odette Cabernet Sauvignon 2015,"Napa Valley, California",92,1
Adaptation by Odette Petite Sirah 2013,"Napa Valley, California",92,1
Addax Red Wine 2016,"Napa Valley, California",91,1
Addendum Napa Valley Cabernet Sauvignon 2016,"Napa Valley, California",90,1
Addendum Skellenger Lane Cabernet Sauvignon 2016,"Rutherford, Napa Valley, California",90,1
Addendum Stagecoach Vineyard Cabernet Sauvignon 2016,"Atlas Peak, Napa Valley, California",91,1
Adega Cachin Peza do Rei Blanco 2009,Spain,90,0
Adega Eidos Eidos de Padrinan Albarino 2007,"Rias Baixas, Spain",90,0
Adega Eidos Eidos de Padrinan Albarino 2008,"Rias Baixas, Spain",90,0
Adega Eidos Veigas de Padrinan Albarino 2008,"Rias Baixas, Spain",91,0
Adega O Casal Novo Godello 2007,Spain,92,0
Adega O Casal Novo Mencia 2007,Spain,91,1
Adega Pena das Donas Ribeira Sacra Verdes Matas Mencia 2008,"Ribera del Duero, Spain",95,1
Adegas D'Altamira Brandal Albarino 2005,"Rias Baixas, Spain",90,0
Adegas Galegas D. Pedro Soutomaior Albarino 2014,"Rias Baixas, Spain",91,0
Adelaida Anna's Red 2014,"Paso Robles, Central Coast, California",91,1
Adelaida Anna's Red 2016,"Paso Robles, Central Coast, California",91,1
Adelaida Anna's Vineyard Syrah 2013,"Adelaida District, Paso Robles, Central Coast, California",90,1
Adelaida Anna's White 2014,"Adelaida District, Paso Robles, Central Coast, California",92,0
Adelaida End Post Cabernet Sauvignon 2015,"Paso Robles, Central Coast, California",91,1
Adelaida Estate Chardonnay 2014,"Adelaida District, Paso Robles, Central Coast, California",91,0
Adelaida Estate Pinot Noir 2013,"Adelaida District, Paso Robles, Central Coast, California",92,1
Adelaida Estate Rose 2013,California,90,0
Adelaida Grenache 2013,"Paso Robles, Central Coast, California",90,1
Adelaida HMR Pinot Noir 2013,"Paso Robles, Central Coast, California",92,1
Adelaida HMR Pinot Noir 2018,"Paso Robles, Central Coast, California",91,1
Adelaida Keeper Red 2011,"Central Coast, California",91,1
Adelaida Paso Robles Cabernet Sauvignon 2015,"Paso Robles, Central Coast, California",91,1
Adelaida Paso Robles Cabernet Sauvignon 2016,"Adelaida District, Paso Robles, Central Coast, California",92,1
Adelaida Picpoul Blanc 2015,"Paso Robles, Central Coast, California",90,0
Adelaida Version White 2012,"Central Coast, California",90,0
Adelaida Version White 2013,"Central Coast, California",90,0
Adelsheim Breaking Ground Pinot Noir 2014,"Chehalem Mountains, Willamette Valley, Oregon",91,1
Adelsheim Breaking Ground Pinot Noir 2015,"Willamette Valley, Oregon",90,1
Adelsheim Bryan Creek Pinot Noir 1999,"Willamette Valley, Oregon",90,1
Adelsheim Bryan Creek Pinot Noir 2012,"Willamette Valley, Oregon",90,1
Adelsheim Bryan Creek Pinot Noir 2013,"Willamette Valley, Oregon",92,1
Adelsheim Bryan Creek Vineyard Pinot Blanc 2008,"Willamette Valley, Oregon",90,0
Adelsheim Bryan Creek Vineyard Pinot Blanc 2015,"Chehalem Mountains, Willamette Valley, Oregon",91,0
Adelsheim Bryan Creek Vineyard Pinot Blanc 2017,"Chehalem Mountains, Willamette Valley, Oregon",91,0
Adelsheim Caitlin's Reserve Chardonnay 2014,"Willamette Valley, Oregon",92,0
Adelsheim Caitlin's Reserve Chardonnay 2015,"Willamette Valley, Oregon",92,0
Adelsheim Chardonnay 2007,"Willamette Valley, Oregon",90,0
Adelsheim Chardonnay 2009,"Willamette Valley, Oregon",91,0
Adelsheim Chardonnay 2010,"Willamette Valley, Oregon",90,0
Adelsheim Chardonnay 2008,"Willamette Valley, Oregon",91,0
Adelsheim Elizabeth's Reserve Pinot Noir (1.5 Liter Magnum) 2012,"Willamette Valley, Oregon",92,1
Adelsheim Elizabeth's Reserve Pinot Noir (1.5 Liter Magnum) 2013,"Willamette Valley, Oregon",91,1
Adelsheim Elizabeth's Reserve Pinot Noir 1999,"Willamette Valley, Oregon",90,1
Adelsheim Elizabeth's Reserve Pinot Noir 2002,"Willamette Valley, Oregon",93,1
Adelsheim Elizabeth's Reserve Pinot Noir 2006,"Willamette Valley, Oregon",90,1
Adelsheim Elizabeth's Reserve Pinot Noir 2008,"Willamette Valley, Oregon",92,1
Adelsheim Elizabeth's Reserve Pinot Noir 2009,"Willamette Valley, Oregon",90,1
Adelsheim Elizabeth's Reserve Pinot Noir 2010,"Willamette Valley, Oregon",91,1
Adelsheim Elizabeth's Reserve Pinot Noir 2011,"Willamette Valley, Oregon",91,1
Adelsheim Elizabeth's Reserve Pinot Noir 2012,"Willamette Valley, Oregon",92,1
Adelsheim Elizabeth's Reserve Pinot Noir 2013,"Willamette Valley, Oregon",91,1
Adelsheim Elizabeth's Reserve Pinot Noir 2014,"Willamette Valley, Oregon",91,1
Adelsheim Elizabeth's Reserve Pinot Noir 2015,"Willamette Valley, Oregon",90,1
Adelsheim Goldschmidt Vineyard Pinot Noir 1999,"Willamette Valley, Oregon",90,1
Adelsheim Pinot Gris 2001,Oregon,91,0
Adelsheim Pinot Gris 2008,"Willamette Valley, Oregon",91,0
Adelsheim Pinot Gris 2009,"Willamette Valley, Oregon",90,0
Adelsheim Pinot Gris 2010,"Willamette Valley, Oregon",90,0
Adelsheim Pinot Gris 2011,"Willamette Valley, Oregon",90,0
Adelsheim Pinot Gris 2012,"Willamette Valley, Oregon",90,0
Adelsheim Pinot Gris 2013,"Willamette Valley, Oregon",91,0
Adelsheim Pinot Gris 2014,"Willamette Valley, Oregon",91,0
Adelsheim Pinot Gris (375ML half-bottle) 2008,"Willamette Valley, Oregon",91,0
Adelsheim Pinot Gris (375ML half-bottle) 2009,"Willamette Valley, Oregon",90,0
Adelsheim Pinot Gris (375ML half-bottle) 2010,"Willamette Valley, Oregon",90,0
Adelsheim Pinot Gris (375ML half-bottle) 2011,"Willamette Valley, Oregon",90,0
Adelsheim Pinot Gris (375ML half-bottle) 2012,"Willamette Valley, Oregon",90,0
Adelsheim Pinot Gris (375ML half-bottle) 2013,"Willamette Valley, Oregon",91,0
Adelsheim Pinot Gris (375ML half-bottle) 2014,"Willamette Valley, Oregon",91,0
Adelsheim Pinot Noir 2006,"Willamette Valley, Oregon",92,1
Adelsheim Pinot Noir 2007,"Willamette Valley, Oregon",90,1
Adelsheim Pinot Noir 2008,"Willamette Valley, Oregon",90,1
Adelsheim Pinot Noir 2009,"Willamette Valley, Oregon",91,1
Adelsheim Pinot Noir 2010,"Willamette Valley, Oregon",90,1
Adelsheim Pinot Noir 2012,"Willamette Valley, Oregon",92,1
Adelsheim Pinot Noir 2013,"Willamette Valley, Oregon",91,1
Adelsheim Pinot Noir 2014,"Willamette Valley, Oregon",90,1
Adelsheim Pinot Noir 2015,"Willamette Valley, Oregon",91,1
Adelsheim Pinot Noir 2016,"Willamette Valley, Oregon",90,1
Adelsheim Pinot Noir (375ML half-bottle) 2007,"Willamette Valley, Oregon",90,1
Adelsheim Pinot Noir (375ML half-bottle) 2008,"Willamette Valley, Oregon",90,1
Adelsheim Pinot Noir (375ML half-bottle) 2010,"Willamette Valley, Oregon",90,1
Adelsheim Pinot Noir (375ML half-bottle) 2012,"Willamette Valley, Oregon",92,1
Adelsheim Pinot Noir (375ML half-bottle) 2013,"Willamette Valley, Oregon",91,1
Adelsheim Pinot Noir (375ML half-bottle) 2014,"Willamette Valley, Oregon",90,1
Adelsheim Pinot Noir (375ML half-bottle) 2015,"Willamette Valley, Oregon",91,1
Adelsheim Pinot Noir (375ML half-bottle) 2016,"Willamette Valley, Oregon",90,1
Adelsheim Pinot Noir (375ML half-bottle) 2017,"Willamette Valley, Oregon",90,1
Adelsheim Staking Claim Chardonnay 2015,"Chehalem Mountains, Willamette Valley, Oregon",91,0
Adelsheim Stoller Vineyard Chardonnay 2000,Oregon,92,0
Adelsheim Willamette Valley Chardonnay 2015,"Willamette Valley, Oregon",91,0
Adobe Road Apex Red Blend 2016,"Sonoma County, California",91,1
Adobe Road Apex Red Blend 2018,"Sonoma County, California",91,1
Adobe Road Bavarian Lion Vineyard Cabernet Sauvignon 2008,"Knights Valley, Sonoma County, California",93,1
Adobe Road Bavarian Lion Vineyard Cabernet Sauvignon 2014,"Knights Valley, Sonoma County, California",92,1
Adobe Road Beckstoffer Georges III Cabernet Sauvignon 2008,"Napa Valley, California",94,1
Adobe Road Beckstoffer Georges III Cabernet Sauvignon 2009,"Napa Valley, California",91,1
Adobe Road Cabernet Franc 2009,"Knights Valley, Sonoma County, California",91,1
Adobe Road Griffin's Lair Vineyard Pinot Noir 2017,"Petaluma Gap, Sonoma Coast, Sonoma County, California",91,1
Adobe Road Chardonnay Kiser Ranch 2016,"Carneros, California",92,0
Adobe Road Sangiacomo Vineyard Chardonnay 2017,"Carneros, California",92,0
